Date,Open,High,Low,Close,Adj Close,Volume
May 8 2025,1404.10,1420.80,1398.00,1407.00,1407.00,16103651
May 7 2025,1420.90,1424.40,1402.70,1406.00,1406.00,13440169
May 6 2025,1431.00,1432.00,1410.60,1420.90,1420.90,14084117
May 5 2025,1431.00,1439.50,1426.90,1431.30,1431.30,12685649
May 2 2025,1414.00,1426.70,1409.10,1419.80,1419.80,13007841
Apr 30 2025,1402.00,1412.40,1369.00,1405.00,1405.00,25480745
Apr 29 2025,1371.00,1410.90,1370.00,1399.70,1399.70,32538970
Apr 28 2025,1340.00,1374.60,1320.20,1368.80,1368.80,31104496
Apr 25 2025,1303.50,1325.20,1288.10,1300.40,1300.40,14431012
Apr 24 2025,1292.40,1304.50,1290.30,1301.60,1301.60,10468940
Apr 23 2025,1297.00,1306.00,1285.40,1300.00,1300.00,10480888
Apr 22 2025,1300.00,1303.90,1286.30,1291.20,1291.20,13051707
Apr 21 2025,1270.00,1300.90,1267.00,1295.50,1295.50,10429964
Apr 17 2025,1240.20,1280.20,1227.60,1274.50,1274.50,15398401
Apr 16 2025,1234.10,1240.90,1229.00,1239.30,1239.30,8248464
Apr 15 2025,1251.00,1251.00,1237.10,1240.10,1240.10,13378535
Apr 11 2025,1195.15,1222.65,1195.15,1218.95,1218.95,11224242
Apr 9 2025,1169.50,1189.80,1168.00,1185.35,1185.35,10223104
Apr 8 2025,1172.00,1196.60,1163.30,1182.20,1182.20,19555040
Apr 7 2025,1132.20,1171.25,1114.85,1165.70,1165.70,22156106
Apr 4 2025,1241.10,1245.45,1193.15,1204.70,1204.70,17908652
Apr 3 2025,1233.05,1251.80,1233.05,1248.70,1248.70,7434366
Apr 2 2025,1247.55,1255.55,1243.90,1251.15,1251.15,10142590
Apr 1 2025,1264.60,1277.90,1249.30,1252.60,1252.60,12099648
Mar 28 2025,1280.00,1295.75,1269.00,1275.10,1275.10,18147129
Mar 27 2025,1278.15,1285.00,1271.30,1278.20,1278.20,15028056
Mar 26 2025,1291.00,1293.80,1268.75,1273.05,1273.05,12074747
Mar 25 2025,1307.70,1307.70,1282.60,1285.45,1285.45,13713899
Mar 24 2025,1291.00,1306.00,1284.25,1302.10,1302.10,20299319
Mar 21 2025,1275.00,1281.00,1270.10,1276.35,1276.35,21780769
Mar 20 2025,1251.85,1273.00,1250.05,1269.15,1269.15,15971477
Mar 19 2025,1241.05,1253.25,1238.80,1247.15,1247.15,16162399
Mar 18 2025,1238.85,1238.85,1238.85,1238.85,1238.85,-
Mar 17 2025,1242.15,1257.40,1233.10,1238.85,1238.85,16640917
Mar 13 2025,1260.05,1264.15,1243.85,1247.90,1247.90,9505270
Mar 12 2025,1258.00,1263.00,1244.00,1257.05,1257.05,11977555
Mar 11 2025,1240.00,1249.50,1229.75,1247.30,1247.30,10089838
Mar 10 2025,1245.00,1258.00,1235.40,1238.40,1238.40,11931051
Mar 7 2025,1216.00,1254.80,1212.00,1249.80,1249.80,16474965
Mar 6 2025,1197.00,1213.95,1185.15,1209.60,1209.60,14468014
Mar 5 2025,1161.00,1183.00,1157.00,1175.60,1175.60,8664095
Mar 4 2025,1162.20,1174.00,1159.55,1161.90,1161.90,11377373
Mar 3 2025,1204.00,1206.45,1156.00,1171.25,1171.25,17944938
Feb 28 2025,1202.00,1217.35,1193.30,1200.10,1200.10,23007298
Feb 27 2025,1212.80,1215.00,1200.65,1207.10,1207.10,11509215
Feb 25 2025,1211.00,1221.00,1201.50,1204.00,1204.00,11552182
Feb 24 2025,1216.55,1223.25,1210.50,1214.55,1214.55,7172498
Feb 21 2025,1228.70,1240.00,1222.15,1228.15,1228.15,6904025
Feb 20 2025,1223.95,1239.35,1222.00,1233.00,1233.00,7795582
Feb 19 2025,1219.50,1232.75,1217.55,1227.45,1227.45,6217338
Feb 18 2025,1224.85,1229.90,1216.10,1225.40,1225.40,6673250
Feb 17 2025,1211.10,1227.50,1204.50,1224.90,1224.90,8166683
Feb 14 2025,1219.00,1224.00,1205.45,1217.25,1217.25,10298145
Feb 13 2025,1217.05,1228.00,1212.00,1216.10,1216.10,8511216
Feb 12 2025,1219.45,1226.90,1193.35,1216.55,1216.55,21131654
Feb 11 2025,1264.55,1264.55,1230.10,1234.85,1234.85,8859714
Feb 10 2025,1264.50,1266.50,1245.55,1253.65,1253.65,6970972
Feb 7 2025,1276.15,1283.70,1262.00,1266.70,1266.70,8764283
Feb 6 2025,1273.70,1288.00,1270.35,1281.55,1281.55,9956001
Feb 5 2025,1282.65,1290.50,1276.70,1278.20,1278.20,10112028
Feb 4 2025,1248.05,1288.80,1246.60,1285.20,1285.20,16691069
Feb 3 2025,1251.00,1256.00,1237.55,1245.90,1245.90,9252345
Feb 1 2025,1265.10,1270.55,1241.00,1264.60,1264.60,7118453
Jan 31 2025,1255.85,1267.00,1249.00,1265.10,1265.10,6584612
Jan 30 2025,1235.55,1257.00,1232.40,1253.05,1253.05,9269259
Jan 29 2025,1236.00,1242.75,1228.05,1235.50,1235.50,5928156
Jan 28 2025,1238.00,1244.75,1218.50,1234.40,1234.40,10568025
Jan 27 2025,1239.10,1240.45,1220.00,1229.35,1229.35,9536019
Jan 24 2025,1266.00,1273.00,1243.50,1246.30,1246.30,14235970
Jan 23 2025,1270.00,1277.35,1261.60,1263.65,1263.65,8720682
Jan 22 2025,1278.30,1282.90,1268.70,1277.10,1277.10,10273590
Jan 21 2025,1310.50,1313.00,1270.20,1273.70,1273.70,14562976
Jan 20 2025,1316.00,1316.00,1300.25,1305.45,1305.45,14040244
Jan 17 2025,1322.25,1326.00,1285.00,1302.35,1302.35,29366277
Jan 16 2025,1258.90,1275.00,1251.30,1266.45,1266.45,14117603
Jan 15 2025,1244.95,1257.00,1241.85,1252.20,1252.20,9578856
Jan 14 2025,1244.10,1253.35,1227.25,1238.75,1238.75,13095266
Jan 13 2025,1230.00,1245.25,1226.40,1239.85,1239.85,13764861
Jan 10 2025,1253.85,1256.75,1236.00,1241.90,1241.90,8120332
Jan 9 2025,1267.00,1269.75,1248.05,1254.75,1254.75,12794704
Jan 8 2025,1249.00,1271.05,1245.35,1265.50,1265.50,19346579
Jan 7 2025,1222.00,1244.50,1221.25,1240.85,1240.85,10070505
Jan 6 2025,1253.95,1262.00,1215.00,1218.00,1218.00,14816766
Jan 3 2025,1243.90,1262.05,1235.50,1251.15,1251.15,15521102
Jan 2 2025,1221.25,1244.45,1220.00,1241.80,1241.80,15486276
Jan 1 2025,1214.85,1226.30,1211.60,1221.25,1221.25,5892590
Dec 31 2024,1208.00,1219.10,1206.15,1215.45,1215.45,6405475
Dec 30 2024,1216.40,1223.20,1208.10,1210.70,1210.70,8818766
Dec 27 2024,1218.30,1227.90,1217.00,1221.05,1221.05,7000397
Dec 26 2024,1224.25,1227.70,1214.25,1216.55,1216.55,10016178
Dec 24 2024,1222.30,1233.55,1221.00,1222.75,1222.75,6734917
Dec 23 2024,1215.00,1227.20,1213.20,1222.30,1222.30,10052824
Dec 20 2024,1224.00,1239.50,1201.50,1205.30,1205.30,20312896
Dec 19 2024,1239.00,1244.90,1229.00,1230.45,1230.45,14244653
Dec 18 2024,1240.65,1259.95,1240.65,1253.25,1253.25,12670179
Dec 17 2024,1261.05,1263.90,1242.80,1245.30,1245.30,17462791
Dec 16 2024,1275.00,1281.00,1266.55,1268.30,1268.30,9486781
Dec 13 2024,1260.00,1275.20,1239.60,1272.85,1272.85,28630222
Dec 12 2024,1270.00,1278.20,1260.60,1262.90,1262.90,20906813
Dec 11 2024,1285.00,1290.00,1276.05,1278.20,1278.20,11724373
Dec 10 2024,1289.25,1294.90,1280.20,1284.85,1284.85,16043729
Dec 9 2024,1303.00,1315.00,1293.10,1295.15,1295.15,14650002
Dec 6 2024,1323.90,1323.90,1310.00,1311.55,1311.55,9037514
Dec 5 2024,1314.35,1329.95,1306.15,1322.05,1322.05,16858723
Dec 4 2024,1326.00,1328.40,1304.05,1308.95,1308.95,19608540
Dec 3 2024,1317.00,1326.80,1307.00,1323.30,1323.30,16869482
Dec 2 2024,1288.00,1311.35,1277.05,1309.15,1309.15,11024152
Nov 29 2024,1280.00,1299.50,1275.25,1292.20,1292.20,13202307
Nov 28 2024,1289.95,1296.60,1269.05,1270.80,1270.80,15027412
Nov 27 2024,1293.50,1303.85,1286.00,1293.20,1293.20,9572746
Nov 26 2024,1294.95,1297.85,1284.20,1295.70,1295.70,9247557
Nov 25 2024,1290.00,1304.45,1282.45,1287.00,1287.00,28923341
Nov 22 2024,1229.40,1268.85,1222.45,1265.40,1265.40,20471957
Nov 21 2024,1241.65,1243.95,1217.25,1223.00,1223.00,19433843
Nov 19 2024,1260.75,1281.50,1235.15,1241.65,1241.65,14183746
Nov 18 2024,1267.60,1272.90,1243.90,1260.75,1260.75,13620611
Nov 14 2024,1253.60,1272.60,1251.10,1267.60,1267.60,12612633
Nov 13 2024,1270.25,1275.45,1249.50,1252.05,1252.05,14633633
Nov 12 2024,1275.55,1289.30,1267.50,1274.25,1274.25,10671091
Nov 11 2024,1278.95,1286.00,1267.00,1272.70,1272.70,9056552
Nov 8 2024,1297.65,1301.65,1275.00,1283.75,1283.75,19814406
Nov 7 2024,1324.00,1324.00,1302.60,1305.65,1305.65,9611974
Nov 6 2024,1310.00,1328.30,1300.20,1325.35,1325.35,21625209
Nov 5 2024,1293.00,1309.55,1286.15,1305.30,1305.30,16267479
Nov 4 2024,1337.85,1340.00,1285.10,1302.15,1302.15,19796890
Nov 1 2024,1333.05,1341.95,1333.00,1338.65,1338.65,2127335
Oct 31 2024,1340.00,1343.00,1326.15,1332.05,1332.05,9331650
Oct 30 2024,1335.00,1350.00,1325.35,1343.90,1343.90,11984423
Oct 29 2024,1328.10,1343.20,1320.30,1340.00,1340.00,12008361
Oct 28 2024,1337.00,1353.00,1322.10,1334.35,1334.35,10824350
Oct 25 2024,1343.50,1344.35,1322.00,1327.85,1327.85,18597496
Oct 24 2024,1335.28,1343.70,1323.13,1339.80,1339.80,22155934
Oct 23 2024,1337.50,1357.47,1335.00,1338.53,1338.53,17214742
